Profile Summary
Generated on: 2020-12-25 12:43:07
Msec since Epoch: 1608871387721
Profiled application: host
Target platform: 
Tool version: 2020.1
XRT build version: 2.7.766
Build version branch: 2020.1_PU1
Build version hash: 19bc791a7d9b54ecc23644649c3ea2c2ea31821c
Build version date: N/A 
Target devices: xilinx_u50_gen3x16_xdma_201920_3-0
Flow mode: Software Emulation

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clReleaseContext,1,5001.35,5001.35,5001.35,5001.35,
clWaitForEvents,8,242.321,0.004299,30.2901,161.645,
clCreateProgramWithBinary,1,15.2204,15.2204,15.2204,15.2204,
clEnqueueMigrateMemObjects,18,0.631133,0.01199,0.0350629,0.124942,
clCreateKernel,1,0.381364,0.381364,0.381364,0.381364,
clSetKernelArg,37,0.358275,0.002343,0.00968311,0.090374,
clEnqueueTask,9,0.352428,0.023824,0.0391587,0.069817,
clReleaseMemObject,59,0.196891,0.00239,0.00333714,0.023748,
clRetainMemObject,40,0.158771,0.002398,0.00396927,0.020863,
clReleaseEvent,52,0.158408,0.002351,0.00304631,0.005386,
clReleaseKernel,1,0.147852,0.147852,0.147852,0.147852,
clRetainEvent,26,0.107368,0.002493,0.00412954,0.024401,
clReleaseProgram,1,0.073887,0.073887,0.073887,0.073887,
clGetPlatformIDs,2,0.027472,0.005511,0.013736,0.021961,
clGetEventProfilingInfo,2,0.023527,0.005742,0.0117635,0.017785,
clCreateContext,1,0.020606,0.020606,0.020606,0.020606,
clCreateBuffer,3,0.012533,0.002873,0.00417767,0.006534,
clReleaseDevice,2,0.009576,0.003138,0.004788,0.006438,
clGetPlatformInfo,2,0.00857,0.002748,0.004285,0.005822,
clGetDeviceIDs,2,0.00629,0.00259,0.003145,0.0037,
clCreateCommandQueue,1,0.005937,0.005937,0.005937,0.005937,
clRetainDevice,2,0.005266,0.00253,0.002633,0.002736,
clReleaseCommandQueue,1,0.004602,0.004602,0.004602,0.004602,


Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
runOnfpga,9,851.706,1.59723,94.6341,208.816,


Compute Unit Utilization
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),
xilinx_u50_gen3x16_xdma_201920_3-0,runOnfpga_1,runOnfpga,1:1:1,1:1:1,9,No,0,1.000000x,99.8035,0.104087,11.0893,41.738,300,


Data Transfer: Host to Global Memory
Context:Number of Devices,Transfer Type,Number Of Buffer Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Buffer Size (KB),Total Time (ms),Average Time (ms),


Data Transfer: Kernels to Global Memory
Device,Compute Unit/Port Name,Kernel Arguments,Memory Resources,Transfer Type,Number Of Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Size (KB),Average Latency (ns),


Top Data Transfer: Kernels to Global Memory
Device,Compute Unit,Number of Transfers,Average Bytes per Transfer,Transfer Efficiency (%),Total Data Transfer (MB),Total Write (MB),Total Read (MB),Total Transfer Rate (MB/s),


Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94502375864912,runOnfpga,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,101.907,213.131,1:1:1,1:1:1,
94502375864912,runOnfpga,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,99.5836,186.342,1:1:1,1:1:1,
94502375864912,runOnfpga,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,104.686,143.217,1:1:1,1:1:1,
94502375864912,runOnfpga,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,103.614,102.655,1:1:1,1:1:1,
94502375864912,runOnfpga,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,102.756,76.9023,1:1:1,1:1:1,
94502375864912,runOnfpga,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,73.2458,52.8378,1:1:1,1:1:1,
94502375864912,runOnfpga,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,106.221,47.3123,1:1:1,1:1:1,
94502375864912,runOnfpga,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,71.9909,27.7115,1:1:1,1:1:1,
94502375864912,runOnfpga,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,71.219,1.59723,1:1:1,1:1:1,


Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
702976,0,0,73.265,N/A,175.36,N/A,
878336,0,0,99.7758,N/A,175.36,N/A,
527616,0,0,72.0947,N/A,175.36,N/A,
1053696,0,0,101.926,N/A,175.36,N/A,
352256,0,0,71.335,N/A,175.36,N/A,
1579776,0,0,105.589,N/A,175.36,N/A,
1404416,0,0,104.09,N/A,175.36,N/A,
1229056,0,0,103.212,N/A,175.36,N/A,
1757184,0,0,70.8505,N/A,65.536,N/A,


Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
87680,0,0,285.959,N/A,43.84,N/A,
43840,0,0,126.137,N/A,43.84,N/A,
263040,0,0,315.376,N/A,43.84,N/A,
219200,0,0,315.271,N/A,43.84,N/A,
175360,0,0,315.133,N/A,43.84,N/A,
306880,0,0,315.521,N/A,43.84,N/A,
131520,0,0,315.082,N/A,43.84,N/A,
0,0,0,99.7445,N/A,43.84,N/A,


Guidance Parameters
Parameter,Element,Value,
DEVICE_EXEC_TIME,xilinx_u50_gen3x16_xdma_201920_3-0,243.818682,
CU_CALLS,xilinx_u50_gen3x16_xdma_201920_3-0|runOnfpga_1,9,
MIGRATE_MEM,host,18,
PLRAM_DEVICE,all,1,
HBM_DEVICE,all,1,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
P2P_HOST_TRANSFERS,host,0,
PORT_BIT_WIDTH,runOnfpga_1/m_axi_maxiport0,512,
PORT_BIT_WIDTH,runOnfpga_1/m_axi_maxiport1,32,
KERNEL_COUNT,runOnfpga,1,
OBJECTS_RELEASED,all,1,
TRACE_MEMORY,all,NA,
CU_CONTEXT_EN,all,0,
MAX_PARALLEL_KERNEL_ENQUEUES,runOnfpga,7,
COMMAND_QUEUE_OOO,94502375744208,1,
KERNEL_BUFFER_INFO,runOnfpga|output_flags||1,350720,
KERNEL_BUFFER_INFO,runOnfpga|input_words||1,1402880,
KERNEL_BUFFER_INFO,runOnfpga|bloom_filter||1,65536,
MEMORY_TYPE_BIT_WIDTH,xilinx_u50_gen3x16_xdma_201920_3-0|DDR,512,
MEMORY_TYPE_BIT_WIDTH,xilinx_u50_gen3x16_xdma_201920_3-0|HBM,256,
MEMORY_TYPE_BIT_WIDTH,xilinx_u50_gen3x16_xdma_201920_3-0|PLRAM,512,
XRT_INI_SETTING,continuous_trace,0,
XRT_INI_SETTING,continuous_trace_interval_ms,10,
XRT_INI_SETTING,data_transfer_trace,coarse,
XRT_INI_SETTING,launch_waveform,batch,
XRT_INI_SETTING,lop_trace,0,
XRT_INI_SETTING,power_profile,0,
XRT_INI_SETTING,profile,1,
XRT_INI_SETTING,stall_trace,all,
XRT_INI_SETTING,timeline_trace,1,
XRT_INI_SETTING,trace_buffer_size,4095M,
XRT_INI_SETTING,verbosity,4,
BUFFER_RD_ACTIVE_TIME_MS,all,57.16,
BUFFER_WR_ACTIVE_TIME_MS,all,32.836,
BUFFER_TX_ACTIVE_TIME_MS,all,244.866,
APPLICATION_RUN_TIME_MS,all,5320.76,
TOTAL_KERNEL_RUN_TIME_MS,all,243.819,


