Timeline Trace
Generated on: 2020-12-25 12:43:07
Msec since Epoch: 1608871387722
Profiled application: host
Target platform: Xilinx
Tool version: 2020.1
XRT build version: 2.7.766
Build version branch: 2020.1_PU1
Build version hash: 19bc791a7d9b54ecc23644649c3ea2c2ea31821c
Build version date: N/A 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
54.274969,clGetPlatformIDs|General,START,,,,,,,,,,,0,
54.29693,clGetPlatformIDs|General,END,,,,,,,,,,,0,
54.302062,clGetPlatformIDs|General,START,,,,,,,,,,,1,
54.307573,clGetPlatformIDs|General,END,,,,,,,,,,,1,
54.312199,clGetPlatformInfo|General,START,,,,,,,,,,,2,
54.318021,clGetPlatformInfo|General,END,,,,,,,,,,,2,
54.321815,clGetPlatformInfo|General,START,,,,,,,,,,,3,
54.324563,clGetPlatformInfo|General,END,,,,,,,,,,,3,
54.327813,clGetDeviceIDs|General,START,,,,,,,,,,,4,
54.331513,clGetDeviceIDs|General,END,,,,,,,,,,,4,
54.334169,clGetDeviceIDs|General,START,,,,,,,,,,,5,
54.336759,clGetDeviceIDs|General,END,,,,,,,,,,,5,
54.339297,clRetainDevice|General,START,,,,,,,,,,,6,
54.342033,clRetainDevice|General,END,,,,,,,,,,,6,
54.344586,clRetainDevice|General,START,,,,,,,,,,,7,
54.347116,clRetainDevice|General,END,,,,,,,,,,,7,
54.349604,clCreateContext|General,START,,,,,,,,,,,8,
54.37021,clCreateContext|General,END,,,,,,,,,,,8,
54.373446,clCreateCommandQueue|General,START,,,,,,,,,,,9,
54.379383,clCreateCommandQueue|General,END,,,,,,,,,,,9,
54.659822,clCreateProgramWithBinary|General,START,,,,,,,,,,,10,
69.880213,clCreateProgramWithBinary|General,END,,,,,,,,,,,10,
69.894697,clCreateKernel|General,START,,,,,,,,,,,11,
70.276061,clCreateKernel|General,END,,,,,,,,,,,11,
70.28489,clCreateBuffer|General,START,,,,,,,,,,,12,
70.291424,clCreateBuffer|General,END,,,,,,,,,,,12,
70.294251,clCreateBuffer|General,START,,,,,,,,,,,13,
70.297377,clCreateBuffer|General,END,,,,,,,,,,,13,
70.299849,clCreateBuffer|General,START,,,,,,,,,,,14,
70.302722,clCreateBuffer|General,END,,,,,,,,,,,14,
70.305194,clSetKernelArg|General,START,,,,,,,,,,,15,
70.395568,clSetKernelArg|General,END,,,,,,,,,,,15,
70.404591,clSetKernelArg|General,START,,,,,,,,,,,16,
70.454262,clSetKernelArg|General,END,,,,,,,,,,,16,
70.462823,clSetKernelArg|General,START,,,,,,,,,,,17,
70.540446,clSetKernelArg|General,END,,,,,,,,,,,17,
70.549275,clRetainMemObject|General,START,,,,,,,,,,,18,
70.553679,clRetainMemObject|General,END,,,,,,,,,,,18,
70.556408,clRetainMemObject|General,START,,,,,,,,,,,19,
70.559245,clRetainMemObject|General,END,,,,,,,,,,,19,
70.561677,clRetainMemObject|General,START,,,,,,,,,,,20,
70.564128,clRetainMemObject|General,END,,,,,,,,,,,20,
70.566596,clRetainMemObject|General,START,,,,,,,,,,,21,
70.569042,clRetainMemObject|General,END,,,,,,,,,,,21,
70.571478,clRetainMemObject|General,START,,,,,,,,,,,22,
70.57405,clRetainMemObject|General,END,,,,,,,,,,,22,
70.576515,clRetainMemObject|General,START,,,,,,,,,,,23,
70.578957,clRetainMemObject|General,END,,,,,,,,,,,23,
70.581656,clEnqueueMigrateMemObjects|94502375744224,START,,,,,,,,,,,24,
70.604288,clEnqueueMigrateMemObjects|94502375744224,END,,,,,,,,,,,24,
70.60824,clReleaseMemObject|General,START,,,,,,,,,,,25,
70.611439,clReleaseMemObject|General,END,,,,,,,,,,,25,
70.613894,clReleaseMemObject|General,START,,,,,,,,,,,26,
70.616441,clReleaseMemObject|General,END,,,,,,,,,,,26,
70.61885,clReleaseMemObject|General,START,,,,,,,,,,,27,
70.621358,clReleaseMemObject|General,END,,,,,,,,,,,27,
70.62373,clReleaseMemObject|General,START,,,,,,,,,,,28,
70.626208,clReleaseMemObject|General,END,,,,,,,,,,,28,
70.6286,clReleaseMemObject|General,START,,,,,,,,,,,29,
70.631111,clReleaseMemObject|General,END,,,,,,,,,,,29,
70.633362,clReleaseMemObject|General,START,,,,,,,,,,,30,
70.635758,clReleaseMemObject|General,END,,,,,,,,,,,30,
70.655321,clSetKernelArg|General,START,,,,,,,,,,,31,
70.659087,clSetKernelArg|General,END,,,,,,,,,,,31,
70.661716,clSetKernelArg|General,START,,,,,,,,,,,32,
70.664332,clSetKernelArg|General,END,,,,,,,,,,,32,
70.666687,clRetainMemObject|General,START,,,,,,,,,,,33,
70.669389,clRetainMemObject|General,END,,,,,,,,,,,33,
70.674449,clRetainMemObject|General,START,,,,,,,,,,,34,
70.677042,clRetainMemObject|General,END,,,,,,,,,,,34,
70.679746,clEnqueueMigrateMemObjects|94502375744224,START,,,,,,,,,,,35,
70.686299,WRITE_BUFFER,QUEUE,0X1ad000|Unknown,65536,,,,,,,,,
70.693558,WRITE_BUFFER,SUBMIT,0X1ad000|Unknown,65536,,,,,,,,,
70.804688,clEnqueueMigrateMemObjects|94502375744224,END,,,,,,,,,,,35,
70.811504,clReleaseMemObject|General,START,,,,,,,,,,,36,
70.814711,clReleaseMemObject|General,END,,,,,,,,,,,36,
70.817138,clReleaseMemObject|General,START,,,,,,,,,,,37,
70.819683,clReleaseMemObject|General,END,,,,,,,,,,,37,
70.822413,clRetainEvent|General,START,,,,,,,,,,,38,
70.826079,clRetainEvent|General,END,,,,,,,,,,,38,
70.828853,clEnqueueTask|94502375744224,START,,,,,,,,,,,39,
70.836563,DEPENDENCY_EVENT,,1,2,
70.842812,DEPENDENCY_EVENT,,2,3,
70.850495,WRITE_BUFFER,START,0X1ad000|Unknown|0X7fd02956d700,65536,,,,,,,1,None,
70.858446,KERNEL|xilinx_u50_gen3x16_xdma_201920_3-0|runOnfpga_sw_emu|runOnfpga|1:1:1|all,QUEUE,0X55F30C8B3A50,1,,,,,,,,,
70.89867,clEnqueueTask|94502375744224,END,,,,,,,,,,,39,
70.903994,clRetainEvent|General,START,,,,,,,,,,,40,
70.907664,clRetainEvent|General,END,,,,,,,,,,,40,
70.910364,clSetKernelArg|General,START,,,,,,,,,,,41,
70.915337,clSetKernelArg|General,END,,,,,,,,,,,41,
70.918032,clSetKernelArg|General,START,,,,,,,,,,,42,
70.931867,clSetKernelArg|General,END,,,,,,,,,,,42,
70.93522,clSetKernelArg|General,START,,,,,,,,,,,43,
70.937867,clSetKernelArg|General,END,,,,,,,,,,,43,
70.94023,clSetKernelArg|General,START,,,,,,,,,,,44,
70.943079,clSetKernelArg|General,END,,,,,,,,,,,44,
70.945469,clRetainMemObject|General,START,,,,,,,,,,,45,
70.948578,clRetainMemObject|General,END,,,,,,,,,,,45,
70.951295,clRetainMemObject|General,START,,,,,,,,,,,46,
70.953892,clRetainMemObject|General,END,,,,,,,,,,,46,
70.956552,clEnqueueMigrateMemObjects|94502375744224,START,,,,,,,,,,,47,
70.961346,DEPENDENCY_EVENT,,1,4,
70.96562,WRITE_BUFFER,QUEUE,0X56000|Unknown,175360,,,,,,,,,
70.97024,clEnqueueMigrateMemObjects|94502375744224,END,,,,,,,,,,,47,
70.973324,clReleaseMemObject|General,START,,,,,,,,,,,48,
70.97621,clReleaseMemObject|General,END,,,,,,,,,,,48,
70.97886,clReleaseMemObject|General,START,,,,,,,,,,,49,
70.981443,clReleaseMemObject|General,END,,,,,,,,,,,49,
70.983971,clRetainEvent|General,START,,,,,,,,,,,50,
70.986794,clRetainEvent|General,END,,,,,,,,,,,50,
70.989378,clEnqueueTask|94502375744224,START,,,,,,,,,,,51,
70.993683,DEPENDENCY_EVENT,,1,5,
70.995468,DEPENDENCY_EVENT,,4,5,
70.999473,DEPENDENCY_EVENT,,5,6,
71.0072,KERNEL|xilinx_u50_gen3x16_xdma_201920_3-0|runOnfpga_sw_emu|runOnfpga|1:1:1|all,QUEUE,0X55F30C8B3A50,1,,,,,,,,,
71.013202,clEnqueueTask|94502375744224,END,,,,,,,,,,,51,
71.016344,clRetainEvent|General,START,,,,,,,,,,,52,
71.01904,clRetainEvent|General,END,,,,,,,,,,,52,
71.021415,clRetainMemObject|General,START,,,,,,,,,,,53,
71.023944,clRetainMemObject|General,END,,,,,,,,,,,53,
71.02637,clRetainMemObject|General,START,,,,,,,,,,,54,
71.028768,clRetainMemObject|General,END,,,,,,,,,,,54,
71.031311,clEnqueueMigrateMemObjects|94502375744224,START,,,,,,,,,,,55,
71.034781,DEPENDENCY_EVENT,,3,7,
71.036554,DEPENDENCY_EVENT,,6,7,
71.039508,READ_BUFFER,QUEUE,0X0|Unknown,43840,,,,,,,,,
71.043301,clEnqueueMigrateMemObjects|94502375744224,END,,,,,,,,,,,55,
71.046239,clReleaseMemObject|General,START,,,,,,,,,,,56,
71.04889,clReleaseMemObject|General,END,,,,,,,,,,,56,
71.051303,clReleaseMemObject|General,START,,,,,,,,,,,57,
71.053693,clReleaseMemObject|General,END,,,,,,,,,,,57,
71.056166,clRetainEvent|General,START,,,,,,,,,,,58,
71.058769,clRetainEvent|General,END,,,,,,,,,,,58,
71.061273,clReleaseEvent|General,START,,,,,,,,,,,59,
71.064554,clReleaseEvent|General,END,,,,,,,,,,,59,
71.066945,clReleaseEvent|General,START,,,,,,,,,,,60,
71.069414,clReleaseEvent|General,END,,,,,,,,,,,60,
71.07175,clReleaseEvent|General,START,,,,,,,,,,,61,
71.074231,clReleaseEvent|General,END,,,,,,,,,,,61,
71.076585,clSetKernelArg|General,START,,,,,,,,,,,62,
71.079921,clSetKernelArg|General,END,,,,,,,,,,,62,
71.082361,clSetKernelArg|General,START,,,,,,,,,,,63,
71.085037,clSetKernelArg|General,END,,,,,,,,,,,63,
