Timeline Trace
Generated on: 2020-12-25 09:34:15
Msec since Epoch: 1608860055999
Profiled application: host
Target platform: Xilinx
Tool version: 2020.1
XRT build version: 2.7.766
Build version branch: 2020.1_PU1
Build version hash: 19bc791a7d9b54ecc23644649c3ea2c2ea31821c
Build version date: N/A 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
59.656845,clGetPlatformIDs|General,START,,,,,,,,,,,0,
59.676363,clGetPlatformIDs|General,END,,,,,,,,,,,0,
59.68093,clGetPlatformIDs|General,START,,,,,,,,,,,1,
59.684032,clGetPlatformIDs|General,END,,,,,,,,,,,1,
59.686937,clGetPlatformInfo|General,START,,,,,,,,,,,2,
59.690199,clGetPlatformInfo|General,END,,,,,,,,,,,2,
59.692771,clGetPlatformInfo|General,START,,,,,,,,,,,3,
59.695388,clGetPlatformInfo|General,END,,,,,,,,,,,3,
59.698465,clGetDeviceIDs|General,START,,,,,,,,,,,4,
59.702234,clGetDeviceIDs|General,END,,,,,,,,,,,4,
59.705014,clGetDeviceIDs|General,START,,,,,,,,,,,5,
59.707675,clGetDeviceIDs|General,END,,,,,,,,,,,5,
59.710246,clRetainDevice|General,START,,,,,,,,,,,6,
59.713051,clRetainDevice|General,END,,,,,,,,,,,6,
59.715648,clRetainDevice|General,START,,,,,,,,,,,7,
59.71815,clRetainDevice|General,END,,,,,,,,,,,7,
59.721698,clCreateContext|General,START,,,,,,,,,,,8,
59.746951,clCreateContext|General,END,,,,,,,,,,,8,
59.750502,clCreateCommandQueue|General,START,,,,,,,,,,,9,
59.756093,clCreateCommandQueue|General,END,,,,,,,,,,,9,
107.355424,clCreateProgramWithBinary|General,START,,,,,,,,,,,10,
24668.37658,clCreateProgramWithBinary|General,END,,,,,,,,,,,10,
24668.40716,clCreateKernel|General,START,,,,,,,,,,,11,
24669.27283,clCreateKernel|General,END,,,,,,,,,,,11,
24669.29964,clCreateBuffer|General,START,,,,,,,,,,,12,
24673.90458,clCreateBuffer|General,END,,,,,,,,,,,12,
24673.92145,clCreateBuffer|General,START,,,,,,,,,,,13,
24674.13496,clCreateBuffer|General,END,,,,,,,,,,,13,
24674.1439,clCreateBuffer|General,START,,,,,,,,,,,14,
24674.30214,clCreateBuffer|General,END,,,,,,,,,,,14,
