Profile Summary
Generated on: 2020-12-25 12:20:28
Msec since Epoch: 1608870028796
Profiled application: host
Target platform: 
Tool version: 2020.1
XRT build version: 2.7.766
Build version branch: 2020.1_PU1
Build version hash: 19bc791a7d9b54ecc23644649c3ea2c2ea31821c
Build version date: N/A 
Target devices: xilinx_u50_gen3x16_xdma_201920_3-0
Flow mode: Software Emulation

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clReleaseContext,1,5001.2,5001.2,5001.2,5001.2,
clWaitForEvents,8,230.469,0.030245,28.8086,123.795,
clCreateProgramWithBinary,1,16.1813,16.1813,16.1813,16.1813,
clEnqueueMigrateMemObjects,18,0.675981,0.012853,0.0375545,0.116749,
clCreateKernel,1,0.396817,0.396817,0.396817,0.396817,
clEnqueueTask,9,0.377334,0.024934,0.041926,0.052531,
clSetKernelArg,37,0.296171,0.002433,0.00800462,0.05842,
clReleaseMemObject,59,0.19659,0.002329,0.00333203,0.014655,
clReleaseEvent,52,0.187114,0.002294,0.00359835,0.018168,
clRetainMemObject,40,0.160441,0.002392,0.00401102,0.018716,
clReleaseKernel,1,0.133659,0.133659,0.133659,0.133659,
clRetainEvent,26,0.119389,0.002339,0.00459188,0.028606,
clReleaseProgram,1,0.059546,0.059546,0.059546,0.059546,
clGetPlatformIDs,2,0.022177,0.003006,0.0110885,0.019171,
clCreateContext,1,0.020128,0.020128,0.020128,0.020128,
clCreateBuffer,3,0.012461,0.002826,0.00415367,0.006562,
clGetEventProfilingInfo,2,0.008125,0.003007,0.0040625,0.005118,
clReleaseDevice,2,0.007962,0.002864,0.003981,0.005098,
clGetDeviceIDs,2,0.00644,0.002754,0.00322,0.003686,
clGetPlatformInfo,2,0.005998,0.002527,0.002999,0.003471,
clCreateCommandQueue,1,0.005664,0.005664,0.005664,0.005664,
clRetainDevice,2,0.005505,0.002535,0.0027525,0.00297,
clReleaseCommandQueue,1,0.004077,0.004077,0.004077,0.004077,


Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
runOnfpga,9,775.748,2.0804,86.1942,149.18,


Compute Unit Utilization
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),
xilinx_u50_gen3x16_xdma_201920_3-0,runOnfpga_1,runOnfpga,1:1:1,1:1:1,9,No,0,1.000000x,177.843,0.082351,19.7603,36.1799,300,


Data Transfer: Host to Global Memory
Context:Number of Devices,Transfer Type,Number Of Buffer Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Buffer Size (KB),Total Time (ms),Average Time (ms),


Data Transfer: Kernels to Global Memory
Device,Compute Unit/Port Name,Kernel Arguments,Memory Resources,Transfer Type,Number Of Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Size (KB),Average Latency (ns),


Top Data Transfer: Kernels to Global Memory
Device,Compute Unit,Number of Transfers,Average Bytes per Transfer,Transfer Efficiency (%),Total Data Transfer (MB),Total Write (MB),Total Read (MB),Total Transfer Rate (MB/s),


Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
93889644219952,runOnfpga,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,87.4753,217.072,1:1:1,1:1:1,
93889644219952,runOnfpga,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,101.601,166.739,1:1:1,1:1:1,
93889644219952,runOnfpga,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,129.17,87.7094,1:1:1,1:1:1,
93889644219952,runOnfpga,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,155.367,87.3644,1:1:1,1:1:1,
93889644219952,runOnfpga,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,74.6289,80.4599,1:1:1,1:1:1,
93889644219952,runOnfpga,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,74.0842,54.2094,1:1:1,1:1:1,
93889644219952,runOnfpga,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,128.693,52.0852,1:1:1,1:1:1,
93889644219952,runOnfpga,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,73.2366,28.0282,1:1:1,1:1:1,
93889644219952,runOnfpga,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,72.2791,2.0804,1:1:1,1:1:1,


Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
1229056,0,0,101.618,N/A,175.36,N/A,
878336,0,0,74.6474,N/A,175.36,N/A,
352256,0,0,72.4471,N/A,175.36,N/A,
527616,0,0,73.3282,N/A,175.36,N/A,
1404416,0,0,128.71,N/A,175.36,N/A,
1579776,0,0,155.028,N/A,175.36,N/A,
1757184,0,0,71.9131,N/A,65.536,N/A,
1053696,0,0,101.278,N/A,175.36,N/A,
702976,0,0,74.3067,N/A,175.36,N/A,


Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
0,0,0,101.335,N/A,43.84,N/A,
87680,0,0,155.12,N/A,43.84,N/A,
43840,0,0,128.348,N/A,43.84,N/A,
175360,0,0,304.632,N/A,43.84,N/A,
219200,0,0,304.757,N/A,43.84,N/A,
263040,0,0,304.883,N/A,43.84,N/A,
306880,0,0,304.99,N/A,43.84,N/A,
131520,0,0,304.618,N/A,43.84,N/A,


Guidance Parameters
Parameter,Element,Value,
DEVICE_EXEC_TIME,xilinx_u50_gen3x16_xdma_201920_3-0,232.267868,
CU_CALLS,xilinx_u50_gen3x16_xdma_201920_3-0|runOnfpga_1,9,
MIGRATE_MEM,host,18,
PLRAM_DEVICE,all,1,
HBM_DEVICE,all,1,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
P2P_HOST_TRANSFERS,host,0,
PORT_BIT_WIDTH,runOnfpga_1/m_axi_maxiport0,512,
PORT_BIT_WIDTH,runOnfpga_1/m_axi_maxiport1,32,
KERNEL_COUNT,runOnfpga,1,
OBJECTS_RELEASED,all,1,
TRACE_MEMORY,all,NA,
CU_CONTEXT_EN,all,0,
MAX_PARALLEL_KERNEL_ENQUEUES,runOnfpga,5,
COMMAND_QUEUE_OOO,93889644115936,1,
KERNEL_BUFFER_INFO,runOnfpga|output_flags||1,350720,
KERNEL_BUFFER_INFO,runOnfpga|input_words||1,1402880,
KERNEL_BUFFER_INFO,runOnfpga|bloom_filter||1,65536,
MEMORY_TYPE_BIT_WIDTH,xilinx_u50_gen3x16_xdma_201920_3-0|DDR,512,
MEMORY_TYPE_BIT_WIDTH,xilinx_u50_gen3x16_xdma_201920_3-0|HBM,256,
MEMORY_TYPE_BIT_WIDTH,xilinx_u50_gen3x16_xdma_201920_3-0|PLRAM,512,
XRT_INI_SETTING,continuous_trace,0,
XRT_INI_SETTING,continuous_trace_interval_ms,10,
XRT_INI_SETTING,data_transfer_trace,coarse,
XRT_INI_SETTING,launch_waveform,batch,
XRT_INI_SETTING,lop_trace,0,
XRT_INI_SETTING,power_profile,0,
XRT_INI_SETTING,profile,1,
XRT_INI_SETTING,stall_trace,all,
XRT_INI_SETTING,timeline_trace,1,
XRT_INI_SETTING,trace_buffer_size,4095M,
XRT_INI_SETTING,verbosity,4,
BUFFER_RD_ACTIVE_TIME_MS,all,53.8591,
BUFFER_WR_ACTIVE_TIME_MS,all,42.9903,
BUFFER_TX_ACTIVE_TIME_MS,all,233.278,
APPLICATION_RUN_TIME_MS,all,5310.09,
TOTAL_KERNEL_RUN_TIME_MS,all,232.268,


