Timeline Trace
Generated on: 2020-12-25 12:20:28
Msec since Epoch: 1608870028796
Profiled application: host
Target platform: Xilinx
Tool version: 2020.1
XRT build version: 2.7.766
Build version branch: 2020.1_PU1
Build version hash: 19bc791a7d9b54ecc23644649c3ea2c2ea31821c
Build version date: N/A 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
54.454197,clGetPlatformIDs|General,START,,,,,,,,,,,0,
54.473368,clGetPlatformIDs|General,END,,,,,,,,,,,0,
54.477518,clGetPlatformIDs|General,START,,,,,,,,,,,1,
54.480524,clGetPlatformIDs|General,END,,,,,,,,,,,1,
54.483222,clGetPlatformInfo|General,START,,,,,,,,,,,2,
54.486693,clGetPlatformInfo|General,END,,,,,,,,,,,2,
54.489223,clGetPlatformInfo|General,START,,,,,,,,,,,3,
54.49175,clGetPlatformInfo|General,END,,,,,,,,,,,3,
54.494781,clGetDeviceIDs|General,START,,,,,,,,,,,4,
54.498467,clGetDeviceIDs|General,END,,,,,,,,,,,4,
54.501231,clGetDeviceIDs|General,START,,,,,,,,,,,5,
54.503985,clGetDeviceIDs|General,END,,,,,,,,,,,5,
54.50944,clRetainDevice|General,START,,,,,,,,,,,6,
54.51241,clRetainDevice|General,END,,,,,,,,,,,6,
54.51502,clRetainDevice|General,START,,,,,,,,,,,7,
54.517555,clRetainDevice|General,END,,,,,,,,,,,7,
54.51995,clCreateContext|General,START,,,,,,,,,,,8,
54.540078,clCreateContext|General,END,,,,,,,,,,,8,
54.543207,clCreateCommandQueue|General,START,,,,,,,,,,,9,
54.548871,clCreateCommandQueue|General,END,,,,,,,,,,,9,
54.821776,clCreateProgramWithBinary|General,START,,,,,,,,,,,10,
71.003033,clCreateProgramWithBinary|General,END,,,,,,,,,,,10,
71.016404,clCreateKernel|General,START,,,,,,,,,,,11,
71.413221,clCreateKernel|General,END,,,,,,,,,,,11,
71.424324,clCreateBuffer|General,START,,,,,,,,,,,12,
71.430886,clCreateBuffer|General,END,,,,,,,,,,,12,
71.433787,clCreateBuffer|General,START,,,,,,,,,,,13,
71.43686,clCreateBuffer|General,END,,,,,,,,,,,13,
71.439295,clCreateBuffer|General,START,,,,,,,,,,,14,
71.442121,clCreateBuffer|General,END,,,,,,,,,,,14,
71.44458,clSetKernelArg|General,START,,,,,,,,,,,15,
71.501851,clSetKernelArg|General,END,,,,,,,,,,,15,
71.510608,clSetKernelArg|General,START,,,,,,,,,,,16,
71.569028,clSetKernelArg|General,END,,,,,,,,,,,16,
71.577587,clSetKernelArg|General,START,,,,,,,,,,,17,
71.609139,clSetKernelArg|General,END,,,,,,,,,,,17,
71.616645,clRetainMemObject|General,START,,,,,,,,,,,18,
71.622871,clRetainMemObject|General,END,,,,,,,,,,,18,
71.625725,clRetainMemObject|General,START,,,,,,,,,,,19,
71.628567,clRetainMemObject|General,END,,,,,,,,,,,19,
71.63097,clRetainMemObject|General,START,,,,,,,,,,,20,
71.633553,clRetainMemObject|General,END,,,,,,,,,,,20,
71.635939,clRetainMemObject|General,START,,,,,,,,,,,21,
71.638462,clRetainMemObject|General,END,,,,,,,,,,,21,
71.640796,clRetainMemObject|General,START,,,,,,,,,,,22,
71.643305,clRetainMemObject|General,END,,,,,,,,,,,22,
71.645662,clRetainMemObject|General,START,,,,,,,,,,,23,
71.648085,clRetainMemObject|General,END,,,,,,,,,,,23,
71.655028,clEnqueueMigrateMemObjects|93889644115952,START,,,,,,,,,,,24,
71.677628,clEnqueueMigrateMemObjects|93889644115952,END,,,,,,,,,,,24,
71.681636,clReleaseMemObject|General,START,,,,,,,,,,,25,
71.684822,clReleaseMemObject|General,END,,,,,,,,,,,25,
71.68731,clReleaseMemObject|General,START,,,,,,,,,,,26,
71.689976,clReleaseMemObject|General,END,,,,,,,,,,,26,
71.692325,clReleaseMemObject|General,START,,,,,,,,,,,27,
71.69482,clReleaseMemObject|General,END,,,,,,,,,,,27,
71.697176,clReleaseMemObject|General,START,,,,,,,,,,,28,
71.699627,clReleaseMemObject|General,END,,,,,,,,,,,28,
71.701975,clReleaseMemObject|General,START,,,,,,,,,,,29,
71.704409,clReleaseMemObject|General,END,,,,,,,,,,,29,
71.706765,clReleaseMemObject|General,START,,,,,,,,,,,30,
71.70913,clReleaseMemObject|General,END,,,,,,,,,,,30,
71.727427,clSetKernelArg|General,START,,,,,,,,,,,31,
71.7334,clSetKernelArg|General,END,,,,,,,,,,,31,
71.736093,clSetKernelArg|General,START,,,,,,,,,,,32,
71.738771,clSetKernelArg|General,END,,,,,,,,,,,32,
71.741172,clRetainMemObject|General,START,,,,,,,,,,,33,
71.743764,clRetainMemObject|General,END,,,,,,,,,,,33,
71.746243,clRetainMemObject|General,START,,,,,,,,,,,34,
71.748635,clRetainMemObject|General,END,,,,,,,,,,,34,
71.75113,clEnqueueMigrateMemObjects|93889644115952,START,,,,,,,,,,,35,
71.757342,WRITE_BUFFER,QUEUE,0X1ad000|Unknown,65536,,,,,,,,,
71.764681,WRITE_BUFFER,SUBMIT,0X1ad000|Unknown,65536,,,,,,,,,
71.867879,clEnqueueMigrateMemObjects|93889644115952,END,,,,,,,,,,,35,
71.874253,clReleaseMemObject|General,START,,,,,,,,,,,36,
71.877425,clReleaseMemObject|General,END,,,,,,,,,,,36,
71.879947,clReleaseMemObject|General,START,,,,,,,,,,,37,
71.882302,clReleaseMemObject|General,END,,,,,,,,,,,37,
71.885049,clRetainEvent|General,START,,,,,,,,,,,38,
71.888512,clRetainEvent|General,END,,,,,,,,,,,38,
71.891222,clEnqueueTask|93889644115952,START,,,,,,,,,,,39,
71.898764,DEPENDENCY_EVENT,,1,2,
71.904805,DEPENDENCY_EVENT,,2,3,
71.913109,WRITE_BUFFER,START,0X1ad000|Unknown|0X7f3532fc8700,65536,,,,,,,1,None,
71.920361,KERNEL|xilinx_u50_gen3x16_xdma_201920_3-0|runOnfpga_sw_emu|runOnfpga|1:1:1|all,QUEUE,0X556462E44E30,1,,,,,,,,,
71.942277,clEnqueueTask|93889644115952,END,,,,,,,,,,,39,
71.946047,clRetainEvent|General,START,,,,,,,,,,,40,
71.949059,clRetainEvent|General,END,,,,,,,,,,,40,
71.951505,clSetKernelArg|General,START,,,,,,,,,,,41,
71.955657,clSetKernelArg|General,END,,,,,,,,,,,41,
